uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window,response_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_ERROR,response_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_ERROR,correctness_anthropic_claude-sonnet-4.5_task1_v1_text_simple_edited_window_FUZZY_MATCH,correctness_deepseek_deepseek-v3.2_task1_v1_text_simple_edited_window_FUZZY_MATCH
92648749,aeneid_book2,Conington,"as in MASK , note. ‘MASK MASK MASK MASK’ MASK , though here ‘MASK’ seems to form part of the predicate with ‘MASK MASK’",Nam,373,1,,,,quorum pars magna fui,fuit Ilium,,,False,False
53908082,aeneid_book1,Conington,"Comp. 7. 249, “MASK MASK MASK MASK MASK MASK MASK MASK MASK” which seems to show that ‘MASK’ is to be separated from ‘MASK MASK MASK’ here.","dum stupet , obtutuque haeret defixus in uno",495,1,,,,Tantae molis erat Romanam condere gentem,O terque quaterque beati,,,False,False
43763094,aeneid_book5,Conington,"‘MASK MASK’ v. 578., 7. 285., 11. 190. ‘MASK’ after ‘MASK MASK’ as Henry has seen, not, as Forb. thinks, following Serv., after ‘MASK MASK’","frenatis lucent in equis , quos omnis euntes",554,1,,,,revocatum a morte Dareta,prima tenet plausuque,,,False,False
75664755,aeneid_book6,Conington,The washing and anointing of Patroclus' body are described more minutely Il. 18. 343 foll. ‘MASK’ with ‘MASK MASK’ as it is the process of boiling that is going on. Comp. Virg.'s own simile 7. 462 foll.,Pars calidos latices et aëna undantia flammis,218,1,,,,aena undantia flammis,calidos latices et aena undantia flammis,,,True,True
97930226,aeneid_book2,Conington,"is a common word for the conspicuous accoutrements of a soldier, such as shields and helmets. Comp. Tac. H. 1. 38, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK”",Insignia,389,1,,,,aera micantia,Ardentis clipeos atque aera micantia cerno,,,False,False
74954390,aeneid_book6,Conington,"11. 258, where there is a similar use of ‘MASK’ with a gen. of the offence. ‘MASK’ is explained of crucifixion by Cerda, whom Henry follows, perhaps rightly. He shows that MASK and ‘MASK’ were specially used in that sense (comp. St. Paul's application of MASK MASK MASK Gal. 3. 13 to crucifixion, the primary reference of the words being different, as is remarked by Ellicott in loco), and argues that ‘MASK’ points the same way. But it signifies little what was the precise image Virg. had before his mind, the real point being that the spirit is hung up in such a way as to secure its purification by air. Serv. refers to the ‘MASK’ in the festival of Bacchus ( MASK note, where the parallel is mentioned by anticipation): but Gossrau remarks that no one but Serv. seems to have connected these with purification, and that other traditional notices of them explain them differently. “MASK MASK” 10. 82. Henry ingeniously makes ‘MASK’ here the nom., supposing the meaning to be that the winds blow through the unsubstantial forms of the spirits: there would however be something awkward in the predicative epithet here, when we have already to connect ‘MASK’ closely with ‘MASK MASK’ and it is possible that the same meaning may be intended by the application of the epithet to the winds, which being thin and unsubstantial, are conceived of as the more penetrating. Notices of this threefold purification are cited by Cerda from Martianus Capella and St. Augustin: but it is not clear that they, any more than Serv., had any further authority for the custom than the present passage of Virg.",Supplicia expendunt,740,1,,,,suspensae ad ventos,aliae panduntur inanes suspensae ad ventos,,,False,False
27307292,aeneid_book5,Conington,1. 513.,Simul   simul,675,1,,,,signavitque viam flammis,"caeruleae cui terga notae, maculosus et auro",,,False,False
15854399,aeneid_book3,Conington,"Some have thought ‘MASK’ could stand for “MASK MASK” which is of course impossible. Comp. 5. 57 note. There is force in the present, as Serv. remarks, the smoke being conceived of as continuing after the overthrow. So Aesch. Ag. 818 foll.: “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK”","Ilium , et omnis humo fumat Neptunia Troia",3,1,,,,omnis humo fumat Neptunia Troia,et omnis humo fumat Neptunia Troia,,,True,True
43410530,aeneid_book5,Conington,"is not simply a proverbial expression for wasting his strength, but has a strict propriety here. Dares evaded the blow altogether, which fell with all its force on the air and so caused Entellus to lose his balance. Comp. Catull. 62 (64). 111, “MASK MASK MASK MASK MASK MASK” of the Minotaur attempting to wound his enemy but only wounding the air, a passage which Virg. had MASK his mind, as we shall see on v. 448. ‘MASK MASK’ without any impulse from Dares. Forb. explains it ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK’ which is not improbable.",Viris in ventum effudit,446,1,,,,vires in ventum effudit,vires in ventum effudit,,,True,True
52603817,aeneid_book3,Conington,with truth. “MASK MASK MASK” Hor. 2 S. 3. 305. This use of the neuter pl. as a substantive seems commoner in the nom. and acc. than in the other cases.,Veris,434,1,,,,multa movens animo,,,,False,
85586601,aeneid_book2,Conington,"See above on v. 371. The ‘MASK’ is the shield itself, as in v. 389.",Androgei galeam clipeique insigne decorum,392,1,,,,clipei nequiquam umbone,clipeique insigne decorum,,,False,True
84781706,aeneid_book4,Conington,Comp. MASK .,nec moritura tenet crudeli funere Dido ?,308,1,,,,Varium et mutabile semper femina,"Moriemur inultae, sed moriamur",,,False,False
61464921,aeneid_book1,Conington,"Comp. MASK MASK MASK Eur. Hipp. 1391, and Ov. F. 5. 375, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” ‘MASK MASK MASK MASK MASK MASK’ Otherwise we might have expected ‘MASK MASK MASK’ as the passage is evidently imitated from Il. 1. 529, MASK MASK MASK MASK MASK MASK MASK MASK MASK .",Divinum odorem,403,1,,,,"voltu, quo caelum tempestatesque serenat",oscula libavit natae,,,False,False
61730924,aeneid_book4,Conington,"is so frequently used of sprinkling with blood that it can hardly bear any other sense in a context like this, so that we do not need Henry's ingenious vindication of Serv.'s other interpretation “MASK MASK MASK” hands thrown apart in death. ‘MASK’ from the ‘MASK MASK’ With the passage generally Cerda comp. 2. 486 foll.",Spargere,665,1,,,,sparsasque manus,sparsasque manus,,,False,False
56533581,aeneid_book4,Conington,was read before Heins.,Innixa,690,1,,,,"conubio iungam stabili propriamque dicabo,",Exoriare aliquis nostris ex ossibus ultor,,,False,False
67720302,aeneid_book4,Conington,was the reading before Heins. ‘MASK’ apparently means ‘MASK MASK MASK’ so that the expression may be regarded as a condensed one for “MASK MASK MASK MASK MASK MASK MASK MASK” or something of the kind.,Circumstent te,561,1,,,,Pro re pauca loquar,"Sic, sic",,,False,False
93621588,aeneid_book1,Conington,"“MASK MASK” is attributed to Venus 2. 593. Comp. Hor. 1 Od. 13. 2, “MASK MASK MASK MASK” Comp. also Anacreon, 53, MASK MASK MASK , MASK MASK MASK , MASK MASK MASK . MASK MASK in Homer is not a parallel, as the colour there does not stand simply for beauty. In Il. 3. 396 the first of several marks by which Helen recognizes Aphrodite is the beauty of her neck. ‘MASK’ v. 104 above. ‘MASK’ probably expresses the sudden burst of splendour. Comp. v. 588 below, 2. 590, Hor. 1 Od. 12. 27, and Pers. Prol. 12.","Dixit , et avertens rosea cervice refulsit",402,1,,,,rosea cervice refulsit,rosea cervice refulsit,,,True,True
2599250,aeneid_book6,Conington,"It was doubted in Serv.'s time whether ‘MASK’ went with ‘MASK’ or with ‘MASK MASK’ There seems, however, no authority for the use of ‘MASK’ with a gen. in ordinary writing for ‘MASK MASK’ nor perhaps for that of the Greek MASK , which Serv. adduces, though a wife is often so called in relation to the inferior members of the household, and even by her husband in the language of compliment. Even the English ‘MASK’ would hardly be used of a wife in plain speaking or writing, though common enough in the conventional language of society. ‘MASK’ then is to be taken separately, and explained either in relation to ‘MASK MASK’ or as said by Charon of his mistress and the queen of the shades, as it is frequently used of goddesses; see on 3. 113. The use of MASK as a special title of Proserpine (see Lidd. and Scott) contributes further to make it appropriate here. ‘MASK’ with inf. MASK .",hi dominam Ditis thalamo deducere adorti .,397,1,,,,casta licet patrui servet Proserpina limen,casta licet patrui servet Proserpina limen,,,False,False
38786605,aeneid_book6,Conington,"The Drusi are doubtless introduced out of compliment to Livia, as Heyne remarks, though Livius the conqueror of Hasdrubal was sufficiently remarkable on his own account. ‘MASK MASK’ refers of course to Torquatus beheading his son. Torquatus is doubtless represented with the axe, as Camillus with the recovered standards.",Quin Decios Drusosque procul saevumque securi,824,1,,,,saevumque securi aspice Torquatum,saevumque securi aspice Torquatum,,,False,False
