uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set,response_simple_anthropic_claude-sonnet-4.5_v1_text_text,response_simple_deepseek_deepseek-v3.2_v1_text_text
41019663,aeneid_book3,Servius,"erili voluntate , non lege coniugii : vel quia inter captivos matrimonio fides non stabat : unde et 'MASK' dixit . et 'MASK', quia alii tradidit , quidam 'MASK' accipiunt .",TRANSMISIT HABENDAM,329,1,,,,seruitio enixae tulimus,"eripitur, superante manus, Creusa"
61003512,aeneid_book1,Servius,"proprie MASK dicuntur exitus fluminum , sed modo abusus est , quia plerumque MASK ipsa pro portu sunt .",OSTIA,400,1,,,,ostia,atque ostia sic fessi ponimus
24527679,aeneid_book4,Servius,sic Aeolus “MASK MASK MASK MASK MASK MASK MASK“ .,TIBI FAS ANIMUM TEMPTARE PRECANDO,113,1,,,,Unable to locate Aeolus speaking in Aeneid Book 4; Aeolus appears in Book 1,Tuus o regina quid optes explorare labor
76590588,aeneid_book2,Servius,"vel quia 'MASK' appellantur quae sunt in ministerio Iovis , quando morbos aut letum aut bellum hominibus molitur , quia in XII . ait “MASK MASK MASK MASK MASK“ .",APPARENT DIRAE FACIES,622,1,,,,dirae ultrices,Dirae caelum medio se sustulit axe
7986276,aeneid_book9,Servius,"distinguendum , ut initium iuris iurandi sit 'MASK MASK MASK'.",NON,206,1,,,,"testor, ego, Ascanium",Sic me Dius amet
65984520,aeneid_book11,Servius,qui a diis originem ducunt .,CUM GENTE DEORUM,305,1,,,,genus cui virtus divinaque origo,"bellum importunum, cives, cum gente deorum invictisque viris gerimus, qui bella fatigant, qui a diis originem ducunt"
41722738,aeneid_book12,Servius,"quidam pro 'MASK', alii pro 'MASK', ut “MASK MASK MASK MASK MASK“ .",SUPER,301,1,,,,uiribus aequis,vitaque cum gemitu fugit indignata sub umbras
28547083,aeneid_book7,Servius,acyrologiam fecit commutando Ennii versum : nam ille ait “MASK MASK MASK MASK MASK“ .,RUPIT SATURNIA POSTES,622,1,,,,postquam res Asiae Priamique evertere gentem,mōribus antīquīs stat rēgna vīrīsque
38876251,aeneid_book4,Servius,"id est , hoc vellem praecipue .",PRIMUM,342,1,,,,hoc unum,"id est, hoc vellem, praecipue"
81599950,aeneid_book10,Servius,id est castra Troianorum .,TROIAM,378,1,,,,Aeneadumque castra,"""id est castra Troianorum; hac iter ad regna."""
24076009,aeneid_book3,Servius,"aperta ianua , per periphrasin .",VERSO CARDINE,448,1,,,,panditur interea domus omnipotentis Olympi,portā ianua Inferni
94256236,aeneid_book8,Servius,"fatum saepe pro morte positum legitur , 'MASK' ergo letiferum .",FATIFERUMQUE ENSEM,621,1,,,,fatum crudum,fata
68553774,aeneid_book5,Servius,"ordo est : iubet caedere MASK MASK , id est rite peragi sacrificium , et sic solvi MASK : sic in septimo “MASK MASK MASK MASK MASK“ , id est rite . 'MASK' autem quo naves ad terram ligantur .",SOLVIQUE EX ORDINE FUNEM,773,1,,,,bidentes et solvere funem,solvite crates
17434163,aeneid_book6,Servius,"MASK “MASK MASK MASK MASK MASK“ . et hinc ostenditur quod diximus , iuncta esse haec tria : Acheronta , Stygem , Cocyton . de his autem nascuntur alia , unde est “MASK MASK MASK MASK MASK“ .",INDE UT STYGIA PROSPEXIT AB UNDA,385,1,,,,"hinc via Tartarei quae fert Acherontis ad undas.
turbidus hic caeno vastaque voragine gurges
aestuat atque omnem Cocyto eructat harenam.
portitor has horrendus aquas et flumina servat
terribili squalore Charon, cui plurima mento
canities inculta iacet, stant lumina flamma,
sordidus ex umeris nodo dependet amictus.
ipse ratem conto subigit velisque ministrat
et ferruginea subvectat corpora cumba,
iam senior, sed cruda deo viridisque senectus.","Acherontis avari, Stygiamque paludem, dique severi Cocyti"
74640562,aeneid_book8,Servius,"unum vacat , aut 'MASK', aut 'MASK', ut “MASK MASK MASK MASK MASK MASK MASK“ : tale est et illud “MASK MASK MASK MASK“ .",POST HINC AD NAVES GRADITUR,546,1,,,,necdum etiam causae irarum saevique dolores,hinc Augustus agens Italos in proelia Caesar
96585365,aeneid_book6,Servius,"obtineat , custodiat , inhabitet , ut “MASK MASK MASK MASK MASK MASK MASK“ .",SERVET,402,1,,,,portitor has horrendus aquas et flumina servat terribili squalore Charon,"Troiaque nunc staret, Priamique arx alta maneres"
6256800,aeneid_book1,Servius,"volubilibus , et est participium pro nomine . volvens enim est qui volvit , volubilis qui volvitur . anni autem volvuntur , non volvunt , ut est “MASK MASK MASK MASK MASK MASK MASK MASK“ . alii quia deficit lingua Latina participio praesenti passivo praesens activum positum volunt , ut “MASK MASK“ et “MASK MASK“ quae quassetur .",VOLVENTIBUS,234,1,,,,volvenda dies en attulit ultro. quassantque,volvendis per annos
71119013,aeneid_book11,Servius,quantum ad mare pertinet : nam terrae prima est .,EXTREMAMQUE,626,1,,,,"illa vel intactae segetis per summa volaret gramina nec teneras cursu laesisset aristas, vel mare per medium fluctu suspensa tumenti ferret iter celeris nec tingeret aequore plantas.","quantum ad mare pertinet, Hesperium; terrae primum Italiae"
11608067,aeneid_book11,Servius,modo 'MASK'.,MUSSANT,454,1,,,,unum oro: liceat miseris dare tuta sepulcra,quae bella gerendo
51741338,aeneid_book9,Servius,"per genetivum frequentius utimur hac figura , quam per ablativum . sane hic secutus veteres cuius rei MASK addidit , cum alibi subtraxerit , ut “MASK MASK MASK MASK“ et “MASK MASK MASK MASK MASK MASK“ .",DIVES EQUUM,26,1,,,,cuius in adventu,"""Anchisiades magni"" et ""magni Anchisiades"""
2496498,aeneid_book6,Servius,"'MASK MASK MASK' dicimus , non 'MASK MASK': quod qui dicunt decipiuntur propter 'MASK MASK MASK'.",INSISTERE LIMEN,563,1,,,,facilis descensus Averno,facilis descensus Averni:  noctes atque dies patet atri ianua Ditis;
87044754,aeneid_book9,Servius,"ab hoc officio et ab hac audacia accessu temporis inferior non probabor , qualiscumque fortuna comitetur . id est numquam aut MASK secunda fortuna acciderit , aut MASK adversa , ut MASK MASK mei faciat , hoc est neque secundis intumescam , neque adversis deiciar .",ME NULLA DIES TAM FORTIBUS AVSIS DISSIMILEM ARGVERIT,279,1,,,,"dine hunc ardorem mentibus addunt,
Euryale, an sua cuique deus fit dira cupido?
aut pugnam aut aliquid iamdudum invadere magnum
mens agitat mihi, nec placida contenta quiete est.
cernis quae Rutulos habeat fiducia rerum:
lumina rara micant, somno vinoque soluti
procubuere, silent late loca.","non, si mihi Iuppiter auctor spondeat, hoc sperem"
86614466,aeneid_book7,Servius,"alibi per accusativum , ut “MASK MASK MASK MASK MASK MASK“ . et hoc secundum naturam est , nam 'MASK MASK MASK' dicimus : per dativum enim figuratum est .",MUROQUE SUBIBANT,161,1,,,,Italiam contra Tiberinaque longe ostia,et terram inter fluctus aperit
92511118,aeneid_book5,Servius,id est inlustrabat .,INCENDEBAT,87,1,,,,inlustrabat,idemque inlustrabat
7974537,aeneid_book4,Servius,"Proserpinam raptam a Dite patre Ceres cum incensis faculis MASK orbem terrarum requireret , MASK trivia eam vel quadrivia vocabat clamoribus . unde permansit in eius sacris , ut certis diebus MASK compita a matronis exerceatur ululatus , sicut in Isidis sacris , ubi est imitatio inventi Osiridis , quem dilaniatum a Typhone eius fratre uxor Isis MASK totum orbem requisisse narratur : Iuvenalis “MASK MASK MASK MASK MASK“ . Hecaten autem causa invocat ultionis . unde etiam furias vocat , sed usurpative modo diras dixit : nam 'MASK' in caelo sunt , ut “MASK MASK MASK MASK MASK“ : 'MASK' in terris , 'MASK' apud inferos : unde et tres esse dicuntur . sed haec nomina confundunt poetae . 'MASK' vero , hoc est Tisiphone : nam Graece MASK ultio dicitur . 'MASK' autem pro 'MASK MASK'. et est participium sine verbo , ut 'MASK'.",VLULATA PER URBES,609,1,,,,nocturnisque Hecate triviis ululata per urbes,"""Dirae"" caelo demittuntur ab alto."
55532291,aeneid_book8,Servius,"mire sine patris auctoritate nihil confirmat , et tamen hospitem appellat .",NOSTRIS SUCCEDE PENATIBUS HOSPES,123,1,,,,"quae causa rates aut cuius egentes
quove tenet cursus? si genus et proavos et quae fortuna sequaris
fari potes, huc ades et mecum haec moenia adire memento,
ne fuge hospitium: Teucros en accipe supplex
et Pallas, Evandri natus, tibi tendit amicam
dextram et Troianae iungit sua foedera genti.","‘fato profugus’ suspexit ‘et iste deus, qui
vestrae tela fugae, iam pridem Ausonia fines
et Lacedaemonios patrem sortitus Oenotros:
idem ordo mihi. sed mea me virtus et sancta oracula divum
cognatique patres, tua terris didita fama,
coniunxere tibi et fatis egere volentem.
Dardanus, Iliacae primus pater urbis et auctor,
Electra, ut Grai perhibent, Atlantide cretus,
advehitur Teucros; Electram maximus Atlas
edidit, aetherios umero qui sustinet orbis.
vobis Mercurius pater est, quem candida Maia
Cyllenae gelido conceptum vertice fudit;
at Maiam, si forte audis, eadem esse sororem
Atlantis, qui caelum sidera tollit acuto;
sic genus amborum scindit se sanguine ab uno.
his fretus non legatos neque prima per artem
temptamenta tui perigi; me, me ipse meumque
obieci caput et supplex ad limina veni.
idem gens eadem, quae te, crudelibus armis
Ausoniis, persequitur; si respuimur, nihil est
quod supersit, quibus exercere quietem
terris Occiduis mediaque ab sede profectis.
auditi et tellus et multa priora vetustas
te genus a magno suspensum numine divum
progenitum; flecte animos, teque adspergere nostris
(nec vereor) fatis et rumpe moras. nos eadem
Troia antiqua manet, tot per saecula testem
sortis eiusdem, tot iam labentibus annis.
per tela, per socios (et spes haec sola timorem
firmat) obtestor: non me patris Anchisae,
non Venus alma fuit, tua numina quippe tueri
ausus, et ad limina, regem, te, nostra, vocavi.’"
15760406,aeneid_book2,Servius,"bene excusat , ne reus sit conscientiae .",EA FAMA VAGATUR,17,1,,,,"feror huc, illuc varia per pectora versor","“sacra suosque tibi commendat Troia penatis; hos cape fatorum comites, his moenia quaere magna, pererrato statues quae denique ponto.”"
70108395,aeneid_book12,Servius,"per transitum historiae usus est verbis ; nam qui MASK exercitu relaxantur , MASK MASK dicuntur dimitti : Sallustius de Oppio , ubi eum Cotta in contione MASK exercitu cogit abscedere , dicit , “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK“ .",DIMITTERE AB ARMIS,844,1,,,,dimittite cunctos,absiste manum committere Teucris
82275314,aeneid_book4,Servius,Sol : unus enim de Titanibus Hyperionis filius contra Iovem non fecit .,TITAN,119,1,,,,"Sol, qui terrarum flammis opera omnia lustras","Sol, qui terrarum flammis opera omnia lustras, tuque harum interpres curarum et conscia Iuno, noctisque et noctis signa orientia testor,"
20052901,aeneid_book6,Servius,"id est Terrae : nam , ut supra diximus , nihil est aliud nox nisi umbra terrarum .",MAGNAEQUE SORORI,250,1,,,,Nox et Chaos et Tartara tenta,
