uuid,book_title,commenter,Full_Mask_comment,answer_quote_text,answer_quote_idx,num_sents,close_reading_example,explanation_human,human_eval_set
05287244,aeneid_book1,Conington,"This line is preceded in some MSS. by the following verses, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” They are not found in Med., Rom., Gud., or the Verona fragments (Pal. and the fragments of Vat. and St. Gall seem to fail here), and the only MS. in Ribbeck's list which contains them (the Berne MS. No. 172) has them written in the margin by a later hand. They appear to have existed in the time of Servius and of the Pseudo-Donatus, who say that Nisus the grammarian had heard a story of their having been expunged by Tueca and Varius; on which Heyne remarks, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” The external evidence of such a story it is impossible to estimate, but its existence suspiciously indicates that the lines were felt to require apology. Those who speak of them as an introduction to the poem, forget that if genuine they are an integral part of the first sentence; and that it is, to say the least, remarkable that the exordium should be so constructed as to be at once interwoven with the context, and yet capable of removal without detriment to the construction, just at the point which forms a much better commencement. The words ‘MASK MASK’ are quoted by Martial, 8. 56., 19. 14., 185. 2, and Auson. Epig. 137. 1, evidently as a real commencement of the Aeneid; while Ovid, Trist. 2. 533, and Persius, 1. 96, quote ‘MASK MASK MASK’ or ‘MASK MASK MASK’ as important and independent words, which they cease to be the moment ‘MASK’ is viewed in connexion with the words supposed to precede it. Virg. himself, 9. 777, has (of the poet Clytins) “MASK MASK MASK MASK MASK MASK MASK MASK” Comp. also MASK , Prop. 3. 26. 63, which point the same way. Macrob. Sat. 5. 2. quotes ‘MASK MASK MASK MASK MASK’ as part of the first verse of the Aeneid. On the other hand Priscian 910 P cites ‘MASK MASK MASK MASK MASK MASK MASK’ as Virg.'s. Henry's view that ‘MASK MASK’ is happily contrasted with ‘MASK MASK’ (comp. MASK ) seems to be favoured by the structure of the sentence, and may very possibly have been present to the mind of the author of these lines; but it clearly was not present to the minds of those who quoted ‘MASK’ by itself as war . Tastes may differ as to the rival commencements, on which see Henry in loco, and on 2. 247; but it may be suggested that Virg. would scarcely in his first sentence have divided the attention of the reader between himself and his hero by saying, in effect, that the poet who wrote the Eclogues and the Georgics, sings the hero who founded Rome . Wagn. and Forb., however, as well as Henry, consider the lines as genuine; and they have been imitated by Spenser in the opening of the Faery Queene, and Milton in the opening of Paradise Regained.",,1,0,,,
46077350,aeneid_book1,Conington,"this is an imitation of the opening of the Odyssey, MASK MASK MASK MASK . MASK . MASK . It may also be taken from the first line of the Cyclic poem of the Epigoni, preserved by the Schol. on MASK , MASK MASK MASK MASK MASK , MASK . It is followed by all the other Roman writers of epic poetry, Lucan, Flaccus, Statius, and, above all, Silius, the most faithful copier of Virg., with a unanimity which strongly supports the view taken in the preceding note. The words are not a hendiadys, but give first the character of the subject and then the subject itself. ‘MASK’ may have been intended to suggest, though it does not express, a contrast between this and Virg.'s previous poems.—In commencing with ‘MASK’ he has followed his own example in the Georgics, rather than that of Homer, who at once invokes the Muse; and the Latin Epic writers have followed Virg. The earlier commentators have found a difficulty in reconciling ‘MASK’ with Antenor's previous migration (below, vv. 242 foll.), and suggest that Aeneas had first reached Italy proper, though Antenor had previously reached Venetia. On the other hand, Heyne and Wagn. make ‘MASK’ equivalent to ‘MASK MASK’ thus weakening a word which from its position and its occurrence in the first line of the poem must be emphatic. The more obvious sense is that Aeneas is so called without reference to Antenor, as the founder of the great Trojan empire in Italy.",,1,0,,,
15408579,aeneid_book1,Conington,"a mixture of modal and instrum. abl., as in 4. 696., 6. 449, 466, &c. Here it seems to go with ‘MASK MASK’ though it might go with ‘MASK MASK’ comp. 10. 67. Perhaps the force may be “MASK MASK MASK MASK MASK MASK MASK” a glorious and heaven-sent fugitive. So MASK , comp. by Weidner, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” For the poetic accus. ‘MASK MASK’ without the preposition, see Madv. § 232, obs. 4. The MSS. are divided between ‘MASK’ ‘MASK MASK’ and perhaps ‘MASK MASK’ The last, however, though adopted by Burm. and Heyne, and approved by Heins., seems to rest solely on the authority of Med., which has ‘MASK’ (corrected into ‘MASK’), with a mark of erasure after the word. ‘MASK’ is found in the Verona fragm., and is supported by quotations in Terentianus Maurus and Diomedes, and in single MSS. of Priscian, Censorinus, and Servius in artem Donati. ‘MASK’ is found in Rom., Gud., and probably most other MSS., and is supported by quotations in Macrobius, Gellius, Marius Victorinus, Pompeius, the Schol. on Lucan, most MSS. of Priscian, and one of Censorinus. Servius mentions both readings, saying, “MASK MASK MASK MASK MASK MASK MASK” ‘MASK’ is supported by 4. 236: but the synizesis, though not unexampled (comp. 5. 269., 6. 33, and see on MASK ), is perhaps awkward, especially in the second line of the poem, and the imitation in Prop. 3. 26. 64, “MASK MASK MASK MASK” is in favour of the form ‘MASK’ Juv. 12. 71 has “MASK MASK MASK MASK MASK” though there as in Prop. the quadrisyllabic form might be introduced and explained by synizesis. On the whole, I have preferred ‘MASK’ believing the form to be possible in itself (comp. “MASK MASK” “MASK MASK” “MASK” &c.), and more probable in this instance; the modern editors however are generally for ‘MASK MASK’ Lachmann on MASK speaks doubtfully. The epithet which belonged to the place after the foundation of the city by Aeneas is given to it here, as in 4. 236, by a natural anticipation at the time of his landing.",,2,0,,,
74359536,aeneid_book1,Conington,"The imitation of the exordium of the Odyssey continues, ‘MASK MASK MASK MASK MASK MASK MASK MASK MASK’ being modelled on MASK MASK . . MASK MASK MASK . . MASK : ‘MASK MASK’ as so often in Virg., standing for the Homeric MASK . ‘MASK MASK’ &c., used to be pointed as a separate sentence; it is however evidently constructed with ‘MASK MASK’ so that ‘MASK’ is virtually pleonastic. Comp. 5. 457., 6. 593., 9. 479. Here it appears rhetorically to be equal to ‘MASK MASK’ ‘MASK’ is naturally transferred from wanderings by sea to wanderings by land. In such passages as vv. 332, 668, we see the point of transition. So 5. 627, “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK”",,3,0,,,
79509709,aeneid_book1,Conington,"expresses the general agency, like ‘MASK MASK MASK’ though Juno was his only personal enemy. Gossrau's fancy that ‘MASK MASK’ = MASK MASK , ‘MASK MASK MASK MASK’ has no authority. For ‘MASK MASK’ comp. MASK “MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK” So MASK “MASK MASK”. ‘MASK MASK MASK’ below, v. 251, ‘MASK MASK MASK MASK’",,4,0,,,
61737165,aeneid_book1,Conington,"constructed like ‘MASK MASK’ ‘MASK’ and ‘MASK’ of course form a pleonasm, though the former appears to be connected with ‘MASK MASK’ and the latter with ‘MASK MASK’ ‘MASK MASK’ like “MASK MASK MASK” MASK , where see note. Here we might render ‘MASK MASK MASK MASK MASK MASK MASK’ So Hom. Od. 1. 4. foll., MASK MASK . . MASK MASK . MASK . MASK . The clause belongs to ‘MASK MASK MASK MASK’ rather than to ‘MASK MASK’",,5,0,,,
77520161,aeneid_book1,Conington,"“MASK MASK MASK MASK” 8. 11. ‘MASK’ may be taken either as “MASK MASK MASK MASK” or as “MASK MASK” as in v. 568., 6. 766, &c. The latter seems more probable. ‘MASK MASK MASK’ ‘MASK MASK MASK’ ‘MASK MASK MASK MASK’ denote the three ascending stages of the empire which sprang from Aeneas, Lavinium, Alba, and Rome . Comp. 12. 823, foll., which is a good commentary on the present passage. ‘MASK MASK’ probably means not ‘MASK MASK MASK’ but the senate, or rather the noble houses of Alba, of which the Julii were one.",,6,0,,,
48388242,aeneid_book1,Conington,‘MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK MASK’,,8-11,0,,,
41742628,aeneid_book1,Conington,"is not unfrequently used where we should be content with the sing., e. g. v. 414., 2. 105., 3. 32., 6. 710, the last of which will illustrate the epexegetical clause ‘MASK MASK MASK MASK’ ‘MASK’ is appropriate, as the Muses were connected with memory: comp. 7. 645, and see note on MASK .—There are various ways of taking ‘MASK MASK MASK MASK’ Some think there is a change of construction, and that “MASK MASK MASK” or something like it, should have followed; so that Virgil should have imitated Homer, Il. 1. 8, MASK MASK MASK MASK MASK MASK MASK MASK ; But this, as Heyne remarks, though not unexampled, would be a singular piece of loose writing so early in the poem, and would moreover involve the inconsistency of first saying that it was Juno, ‘MASK MASK MASK MASK MASK MASK’ and then asking the Muse what god it was. Others make ‘MASK’ nearly equivalent to ‘MASK MASK’ citing 2. 123, “MASK MASK MASK MASK MASK MASK” but even supposing that ‘MASK’ in this sense might be taken distributively, which the passage above quoted does not prove, ‘MASK’ would scarcely be appropriate to ‘MASK’ in this sense, while the words frequently occur in conjunction in the sense of outraged majesty. Comp. 2. 183, Hor. Epod. 15. 3, and Macleane's note. Heyne accepts Serv.'s proposal of separating ‘MASK’ from ‘MASK MASK’ and taking it in the sense of “MASK MASK MASK” “MASK MASK MASK” which would be extremely harsh. It remains then, with Wagn., to regard the expression as equivalent to “MASK MASK MASK MASK MASK MASK” referring it to the cases already noticed on MASK , where the pronoun or pronominal adjective stands for its corresponding adverb. Thus the negative answer to ‘MASK MASK MASK’ would be “MASK MASK MASK MASK MASK” Or we may say that ‘MASK MASK’ alone would stand for “MASK MASK” (see Madv. § 426), and that in such a construction the question could hardly be asked otherwise than by making the interrogative pronoun agree with the noun. No charge of impiety strictly could be brought against Aeneas, but there might be ‘MASK MASK’ such as are mentioned vv. 23—28, which impelled Juno to persecute even one renowned for piety.",,8,0,,,
58807801,aeneid_book1,Conington,"see on MASK , “MASK MASK MASK MASK MASK MASK MASK” The misfortunes are regarded as a destined circle which Aeneas goes through.",,9,0,,,
